time; apparent
1636804885.7966068; 671.6620800000001; 
1636804885.8985324; 673.87392; 
1636804886.000501; 674.2425599999999; 
1636804886.1024773; 673.87392; 
1636804886.2044168; 674.2425599999999; 
1636804886.3063712; 674.2425599999999; 
1636804886.4083283; 673.87392; 
1636804886.5102873; 673.87392; 
1636804886.6123064; 674.6112; 
1636804886.7229798; 674.6112; 
1636804886.824901; 673.50528; 
1636804886.9268272; 673.1366399999999; 
1636804887.0288117; 673.50528; 
1636804887.1308389; 673.50528; 
1636804887.2327907; 673.1366399999999; 
1636804887.334721; 672.39936; 
1636804887.4366412; 672.03072; 
1636804887.538568; 672.03072; 
1636804887.640503; 672.39936; 
1636804887.751431; 673.1366399999999; 
1636804887.85339; 672.7679999999999; 
1636804887.9553287; 672.7679999999999; 
1636804888.057253; 672.7679999999999; 
1636804888.1592336; 673.1366399999999; 
1636804888.2611632; 672.7679999999999; 
1636804888.363228; 673.87392; 
1636804888.4651618; 672.7679999999999; 
1636804888.567094; 672.7679999999999; 
1636804888.6690125; 672.7679999999999; 
1636804888.7802267; 677.19168; 
1636804888.8821573; 672.03072; 
1636804888.984084; 672.03072; 
1636804889.0860057; 672.39936; 
1636804889.1879265; 672.03072; 
1636804889.2899158; 672.03072; 
1636804889.391828; 671.6620800000001; 
1636804889.4937456; 671.29344; 
1636804889.5957298; 671.6620800000001; 
1636804889.69773; 672.03072; 
1636804889.8081472; 672.03072; 
1636804889.9100888; 672.03072; 
1636804890.0120645; 671.6620800000001; 
1636804890.1140869; 671.6620800000001; 
1636804890.2160058; 671.6620800000001; 
1636804890.317945; 672.03072; 
1636804890.4199157; 672.7679999999999; 
1636804890.5218978; 673.1366399999999; 
1636804890.6238816; 673.1366399999999; 
1636804890.7258778; 673.1366399999999; 
1636804890.8366234; 672.7679999999999; 
1636804890.9385192; 672.7679999999999; 
1636804891.0404527; 672.7679999999999; 
1636804891.14237; 672.7679999999999; 
1636804891.2442966; 672.03072; 
1636804891.3463652; 673.1366399999999; 
1636804891.4482772; 672.03072; 
1636804891.5502305; 671.6620800000001; 
1636804891.6521595; 671.6620800000001; 
1636804891.754064; 671.29344; 
1636804891.8646643; 672.39936; 
1636804891.9665515; 670.55616; 
1636804892.0680544; 669.0816000000001; 
1636804892.1699843; 671.29344; 
1636804892.2719326; 670.9248; 
1636804892.3738525; 670.9248; 
1636804892.4757693; 670.55616; 
1636804892.5777457; 671.6620800000001; 
1636804892.679761; 672.03072; 
1636804892.7816758; 671.6620800000001; 
1636804892.892622; 672.03072; 
1636804892.9945805; 672.03072; 
1636804893.0965629; 671.6620800000001; 
1636804893.1985002; 681.24672; 
1636804893.3004687; 819.8553599999999; 
1636804893.4028149; 846.76608; 
1636804893.5047743; 831.6518399999999; 
1636804893.6067305; 825.7535999999999; 
1636804893.7086573; 822.8044799999999; 
1636804893.8105733; 822.0672; 
1636804893.9212406; 821.69856; 
1636804894.0231636; 821.32992; 
1636804894.1251023; 820.96128; 
1636804894.2270236; 821.32992; 
1636804894.3290887; 822.4358400000001; 
1636804894.4310799; 821.69856; 
1636804894.5330281; 821.32992; 
1636804894.6349883; 820.96128; 
1636804894.7369452; 819.8553599999999; 
1636804894.8388808; 819.8553599999999; 
1636804894.9497035; 821.32992; 
1636804895.0516732; 820.224; 
1636804895.1536374; 821.32992; 
1636804895.2555995; 820.59264; 
1636804895.3575244; 820.224; 
1636804895.4594886; 820.224; 
1636804895.5614247; 820.59264; 
1636804895.663448; 821.32992; 
1636804895.7654176; 821.32992; 
1636804895.867375; 820.96128; 
1636804895.977843; 821.69856; 
1636804896.0798347; 822.0672; 
1636804896.1817832; 821.69856; 
1636804896.2837532; 821.69856; 
1636804896.385719; 822.0672; 
1636804896.4876726; 821.69856; 
1636804896.5896564; 821.69856; 
